Customer Unique ID,Customer Name,Product Name,Category,Serial No,Expiry Date,Original Stock Purchase Date,Purchase Date,MRP (INR),Price Paid (INR),Discount (%),Supplier Company,Supplier Email,Payment Method,Warranty Period (months),Product Condition,Shipping Address,Customer Email,Contact Number,Order Status,Return Eligibility,Notes
CUST00001,Sunita Iyer,Mi Smart Band 5,Electronics,MI S506466,,2025-02-04,2025-02-09,2421,2258.79,6.7,Xiaomi India,service.in@xiaomi.com,Cash,12,New,"580 Example Rd, Surat, GJ",sunita.iyer@email.com,7527489918,Shipped,No,Handle with care
CUST00002,Meena Kumari,Himalaya Neem Face Wash 150ml,Personal Care,HIMA243085,2025-12-14,2024-06-22,2024-07-02,151,118.54,21.5,Himalaya Wellness,info@himalayawellness.com,Wallet,0,New,"252 Example Rd, Ahmedabad, GJ",meena.kumari@email.com,8000719263,Processing,No,For external use only
CUST00003,Vikram Patel,Godrej Expert Hair Colour,Personal Care,GODR243551,2026-02-24,2025-03-01,2025-04-20,39,29.84,23.5,Godrej Consumer Products Ltd.,info@godrejcp.com,Cash,0,New,"504 Example Rd, Surat, GJ",vikram.patel@email.com,7060634698,Delivered,Yes,For external use only
CUST00004,Arjun Gupta,Himalaya Neem Face Wash 150ml,Personal Care,HIMA853319,2026-07-15,2025-01-21,2025-02-12,181,155.66,14.0,Himalaya Wellness,info@himalayawellness.com,Credit Card,0,New,"884 Example Rd, Chennai, TN",arjun.gupta@email.com,7356614649,Cancelled,No,For external use only
CUST00005,Deepak Joshi,Mi Smart Band 5,Electronics,MI S676402,,2025-01-08,2025-02-16,2279,2073.89,9.0,Xiaomi India,service.in@xiaomi.com,Cash,12,New,"914 Example Rd, Guwahati, AS",deepak.joshi@email.com,9839358402,Cancelled,No,Handle with care
CUST00006,Vikram Patel,Dettol Handwash 200ml,Personal Care,DETT543543,2027-04-27,2025-05-07,2025-06-25,62,47.0,24.2,Reckitt Benckiser,contact@reckitt.com,UPI,0,New,"20 Example Rd, Indore, MP",vikram.patel@email.com,8908657728,Delivered,Yes,For external use only
CUST00007,Shweta Pandit,Godrej Expert Hair Colour,Personal Care,GODR328559,2025-11-09,2024-11-14,2024-12-06,47,43.15,8.2,Godrej Consumer Products Ltd.,info@godrejcp.com,Debit Card,0,New,"915 Example Rd, Jaipur, RJ",shweta.pandit@email.com,9508623426,Cancelled,No,For external use only
CUST00008,Gaurav Mishra,Tata Salt 1kg,Grocery,TATA509737,2025-09-23,2024-09-28,2024-11-06,34,27.64,18.7,Tata Chemicals Ltd.,customercare@tatachemicals.com,Debit Card,0,New,"349 Example Rd, Bhopal, MP",gaurav.mishra@email.com,8257628310,Shipped,No,Store in cool dry place
CUST00009,Harshita Sinha,Patanjali Ghee 1L,Grocery,PATA161070,2026-02-20,2025-02-25,2025-03-05,561,479.65,14.5,Patanjali Ayurved,support@patanjaliayurved.org,Credit Card,0,New,"63 Example Rd, Pune, MH",harshita.sinha@email.com,9011415643,Delivered,Yes,Store in cool dry place
CUST00010,Sneha Reddy,Britannia Marie Gold 250g,Grocery,BRIT453768,2026-04-01,2025-04-06,2025-05-25,35,27.65,21.0,Britannia Industries,care@britindia.com,Debit Card,0,New,"383 Example Rd, Vadodara, GJ",sneha.reddy@email.com,7853470805,Cancelled,No,Store in cool dry place
CUST00011,Kavita Nair,Dettol Handwash 200ml,Personal Care,DETT713380,2026-07-13,2024-07-23,2024-08-25,71,54.88,22.7,Reckitt Benckiser,contact@reckitt.com,Credit Card,0,New,"182 Example Rd, Jaipur, RJ",kavita.nair@email.com,8776601158,Shipped,No,For external use only
CUST00012,Sneha Reddy,Himalaya Neem Face Wash 150ml,Personal Care,HIMA121450,2025-12-16,2024-06-24,2024-08-09,189,154.79,18.1,Himalaya Wellness,info@himalayawellness.com,UPI,0,New,"529 Example Rd, Ahmedabad, GJ",sneha.reddy@email.com,9294126289,Processing,No,For external use only
CUST00013,Sunita Iyer,Prestige Pressure Cooker 5L,Home Appliances,PRES575554,,2024-09-28,2024-10-10,2370,2026.35,14.5,TTK Prestige Ltd.,support@ttkprestige.com,Net Banking,60,New,"589 Example Rd, Noida, UP",sunita.iyer@email.com,8271106181,Shipped,No,N/A
CUST00014,Sneha Reddy,Colgate Toothpaste 200g,Personal Care,COLG716009,2026-10-06,2024-10-16,2024-11-18,81,71.44,11.8,Colgate-Palmolive India,care@colpal.com,Wallet,0,New,"73 Example Rd, Surat, GJ",sneha.reddy@email.com,7263572625,Cancelled,No,For external use only
CUST00015,Priyanka Verma,Philips Trimmer QT4001,Electronics,PHIL189483,,2024-11-02,2024-11-05,1372,1240.29,9.6,Philips India Ltd.,contact@philips.co.in,Cash,24,New,"159 Example Rd, Delhi, DL",priyanka.verma@email.com,8549503799,Delivered,Yes,Handle with care
