customer_id,customer_name,age,gender,city,state,region,customer_segment,registration_date
C00001,Aarti Patel,26.0,M,Gurugram,Haryana,North India,Retail,2024-10-17
C00002,Karan Iyer,50.0,M,New Delhi,Delhi,North India,Retail,2024-02-24
C00003,Sunita Jain,18.0,M,Chennai,Tamil Nadu,South India,Retail,2024-11-30
C00004,Kavita Das,42.0,M,Gurugram,Haryana,North India,Retail,2023-01-06
C00005,Patel Global Pvt Ltd,,Company,Nashik,Maharashtra,West India,Corporate,2023-02-15
C00006,Pooja Yadav,63.0,M,Jodhpur,Rajasthan,West India,Retail,2021-04-04
C00007,Shah International School,,Company,Kolkata,West Bengal,East India,Education,2023-07-18
C00008,Sneha Iyer,61.0,M,Gurugram,Haryana,North India,Retail,2024-06-01
C00009,Ravi Singh,58.0,M,Noida,Uttar Pradesh,North India,Retail,2024-11-03
C00010,Ravi Reddy,22.0,M,Gurugram,Haryana,North India,Retail,2024-03-07
C00011,Aarti Das,26.0,M,Bengaluru,Karnataka,South India,Retail,2024-02-24
C00012,Riya Patel,32.0,M,Thiruvananthapuram,Kerala,South India,Retail,2023-11-10
C00013,Priya Nair,61.0,F,Cuttack,Odisha,East India,Retail,2024-05-06
C00014,Aarti Das,18.0,M,Bhilai,Chhattisgarh,Central India,Retail,2024-10-28
C00015,Raj Verma,47.0,M,Chennai,Tamil Nadu,South India,Retail,2022-06-24
C00016,Kavita Verma,50.0,M,Faridabad,Haryana,North India,Retail,2021-11-10
C00017,Kavita Yadav,49.0,M,Pune,Maharashtra,West India,Retail,2021-08-18
C00018,Vikram Gupta,49.0,M,New Delhi,Delhi,North India,Retail,2023-12-27
C00019,Aarti Reddy,56.0,F,Bhubaneswar,Odisha,East India,Retail,2022-03-10
C00020,Pooja Rao,51.0,F,Chennai,Tamil Nadu,South India,Retail,2021-09-05
C00021,Amit Rao,18.0,M,Amritsar,Punjab,North India,Retail,2024-12-20
C00022,Riya Reddy,33.0,F,Gurugram,Haryana,North India,Retail,2024-10-02
C00023,Neha Kumar,48.0,F,Panaji,Goa,West India,Retail,2022-01-25
C00024,Neha Singh,64.0,M,Bengaluru,Karnataka,South India,Retail,2024-10-11
C00025,Sunita Verma,30.0,F,Visakhapatnam,Andhra Pradesh,South India,Retail,2021-10-15
C00026,Aarti Sharma,53.0,M,New Delhi,Delhi,North India,Retail,2021-04-14
C00027,Chopra International School,,Company,Bhubaneswar,Odisha,East India,Education,2023-09-22
C00028,Das Consulting Pvt Ltd,,Company,Bhubaneswar,Odisha,East India,Corporate,2023-03-11
C00029,Anjali Reddy,49.0,M,Thiruvananthapuram,Kerala,South India,Retail,2022-01-24
C00030,Singh Public School,,Company,Kochi,Kerala,South India,Education,2022-10-05
C00031,Priya Patel,50.0,M,Kochi,Kerala,South India,Retail,2022-01-16
C00032,Amit Patel,54.0,M,New Delhi,Delhi,North India,Retail,2024-03-31
C00033,Ravi Rao,34.0,M,Kochi,Kerala,South India,Retail,2024-10-03
C00034,Neha Patel,22.0,M,Gurugram,Haryana,North India,Retail,2023-07-28
C00035,Anjali Verma,22.0,M,Warangal,Telangana,South India,Retail,2023-01-27
C00036,Aarti Yadav,59.0,M,Chennai,Tamil Nadu,South India,Retail,2024-09-29
C00037,State Police,,Company,Ludhiana,Punjab,North India,Government,2021-08-08
C00038,Riya Das,31.0,F,Hyderabad,Telangana,South India,Retail,2023-11-02
C00039,Singh Tech Pvt Ltd,,Company,Pune,Maharashtra,West India,Corporate,2022-07-21
C00040,Rahul Kumar,46.0,F,Gurugram,Haryana,North India,Retail,2024-02-23
C00041,Vikram Singh,41.0,M,Cuttack,Odisha,East India,Retail,2023-05-31
C00042,Neha Shah,31.0,M,Howrah,West Bengal,East India,Retail,2024-09-27
C00043,Sneha Verma,65.0,M,Dibrugarh,Assam,East India,Retail,2022-04-30
C00044,Rao Solutions Pvt Ltd,,Company,Faridabad,Haryana,North India,Corporate,2023-04-24
C00045,Deepak Shah,48.0,M,Margao,Goa,West India,Retail,2022-02-13
C00046,Ravi Das,60.0,M,Ahmedabad,Gujarat,West India,Retail,2023-03-28
C00047,Nair Industries Pvt Ltd,,Company,Raipur,Chhattisgarh,Central India,Corporate,2023-11-10
C00048,Verma Academy,,Company,Visakhapatnam,Andhra Pradesh,South India,Education,2022-06-19
C00049,Jain University,,Company,Vijayawada,Andhra Pradesh,South India,Education,2022-12-09
C00050,Sunita Sharma,30.0,F,Mysuru,Karnataka,South India,Retail,2021-04-01
C00051,Ravi Kumar,22.0,F,Ahmedabad,Gujarat,West India,Retail,2024-06-30
C00052,Anjali Iyer,38.0,F,Chennai,Tamil Nadu,South India,Retail,2024-11-28
C00053,Aarti Sharma,29.0,F,Bengaluru,Karnataka,South India,Retail,2023-04-12
C00054,Riya Verma,46.0,M,Gurugram,Haryana,North India,Retail,2023-11-13
C00055,Karan Gupta,33.0,F,Thiruvananthapuram,Kerala,South India,Retail,2022-04-06
C00056,Karan Nair,22.0,F,Noida,Uttar Pradesh,North India,Retail,2023-04-29
C00057,Sneha Joshi,24.0,F,New Delhi,Delhi,North India,Retail,2022-03-25
C00058,Raj Bose,47.0,F,Visakhapatnam,Andhra Pradesh,South India,Retail,2023-06-26
C00059,Menon Solutions Pvt Ltd,,Company,Hyderabad,Telangana,South India,Corporate,2023-08-31
C00060,Pooja Das,51.0,F,Udaipur,Rajasthan,West India,Retail,2024-07-07
C00061,Vikram Rao,38.0,M,Ahmedabad,Gujarat,West India,Retail,2021-10-11
C00062,Deepak Bose,44.0,F,Ludhiana,Punjab,North India,Retail,2024-01-17
C00063,Suresh Chopra,55.0,M,Margao,Goa,West India,Retail,2024-03-25
C00064,Pooja Das,44.0,M,Bengaluru,Karnataka,South India,Retail,2023-09-27
C00065,Vikram Iyer,43.0,M,Gurugram,Haryana,North India,Retail,2023-08-16
C00066,Deepak Verma,23.0,F,Thiruvananthapuram,Kerala,South India,Retail,2021-10-05
C00067,Sunita Das,39.0,F,Hyderabad,Telangana,South India,Retail,2022-07-24
C00068,Rao Industries Pvt Ltd,,Company,Kochi,Kerala,South India,Corporate,2022-12-18
C00069,Vikram Rao,33.0,M,Gwalior,Madhya Pradesh,Central India,Retail,2021-02-11
C00070,Neha Verma,34.0,F,Ahmedabad,Gujarat,West India,Retail,2021-12-10
C00071,Nair University,,Company,New Delhi,Delhi,North India,Education,2024-03-25
C00072,State Police,,Company,Ludhiana,Punjab,North India,Government,2022-09-10
C00073,Shah Tech Pvt Ltd,,Company,Mumbai,Maharashtra,West India,Corporate,2023-05-28
C00074,Deepak Gupta,24.0,F,Bengaluru,Karnataka,South India,Retail,2023-01-12
C00075,Sunita Das,52.0,F,Jodhpur,Rajasthan,West India,Retail,2023-08-11
C00076,Suresh Jain,46.0,M,New Delhi,Delhi,North India,Retail,2023-08-10
C00077,Arjun Das,40.0,F,Bhubaneswar,Odisha,East India,Retail,2022-11-29
C00078,Aarti Rao,64.0,F,Hyderabad,Telangana,South India,Retail,2023-09-28
C00079,Pooja Nair,19.0,M,Panaji,Goa,West India,Retail,2022-08-26
C00080,Aarti Jain,53.0,F,Thiruvananthapuram,Kerala,South India,Retail,2023-05-22
C00081,Neha Iyer,25.0,M,Chennai,Tamil Nadu,South India,Retail,2022-10-09
C00082,Das Academy,,Company,Ahmedabad,Gujarat,West India,Education,2023-09-19
C00083,Yadav International School,,Company,Madurai,Tamil Nadu,South India,Education,2022-02-02
C00084,Anjali Gupta,20.0,M,Kochi,Kerala,South India,Retail,2024-02-08
C00085,Riya Menon,54.0,F,Pune,Maharashtra,West India,Retail,2023-08-20
C00086,Suresh Chopra,48.0,M,Bhilai,Chhattisgarh,Central India,Retail,2021-05-14
C00087,Pooja Kumar,54.0,F,Mumbai,Maharashtra,West India,Retail,2021-06-24
C00088,Deepak Yadav,32.0,F,Kozhikode,Kerala,South India,Retail,2023-07-12
C00089,Kumar Consulting Pvt Ltd,,Company,Bhilai,Chhattisgarh,Central India,Corporate,2021-05-04
C00090,Rahul Bose,29.0,M,New Delhi,Delhi,North India,Retail,2021-11-17
C00091,Deepak Patel,36.0,F,Chennai,Tamil Nadu,South India,Retail,2024-12-10
C00092,Vikram Das,52.0,M,Bhubaneswar,Odisha,East India,Retail,2024-08-19
C00093,Yadav Enterprises Pvt Ltd,,Company,Chandigarh,Punjab,North India,Corporate,2024-05-03
C00094,Priya Singh,50.0,F,Margao,Goa,West India,Retail,2023-06-16
C00095,Sharma Consulting Pvt Ltd,,Company,Jaipur,Rajasthan,West India,Corporate,2022-04-14
C00096,Deepak Das,29.0,F,Vijayawada,Andhra Pradesh,South India,Retail,2023-11-29
C00097,Ravi Jain,48.0,F,Hubli,Karnataka,South India,Retail,2023-04-17
C00098,Suresh Iyer,49.0,F,Patna,Bihar,East India,Retail,2024-09-18
C00099,Aarti Menon,43.0,M,Gurugram,Haryana,North India,Retail,2024-09-08
C00100,Karan Das,49.0,F,Gurugram,Haryana,North India,Retail,2021-04-16
C00101,Pooja Verma,49.0,M,Dibrugarh,Assam,East India,Retail,2021-03-01
C00102,Vikram Chopra,25.0,F,Noida,Uttar Pradesh,North India,Retail,2021-08-29
C00103,Transport Dept,,Company,Chennai,Tamil Nadu,South India,Government,2023-09-16
C00104,Arjun Bose,56.0,M,Bengaluru,Karnataka,South India,Retail,2021-05-23
C00105,Riya Gupta,36.0,F,Udaipur,Rajasthan,West India,Retail,2024-04-17
C00106,Ravi Reddy,52.0,F,Chennai,Tamil Nadu,South India,Retail,2023-07-22
C00107,Singh College of Engg,,Company,Noida,Uttar Pradesh,North India,Education,2023-04-22
C00108,Amit Gupta,60.0,M,Panaji,Goa,West India,Retail,2023-10-12
C00109,Deepak Sharma,46.0,M,Vijayawada,Andhra Pradesh,South India,Retail,2023-12-14
C00110,Suresh Patel,34.0,F,Hyderabad,Telangana,South India,Retail,2024-06-30
C00111,Chopra Consulting Pvt Ltd,,Company,Dibrugarh,Assam,East India,Corporate,2024-07-07
C00112,Sunita Kumar,36.0,M,Ahmedabad,Gujarat,West India,Retail,2021-07-05
C00113,Amit Jain,62.0,F,Mumbai,Maharashtra,West India,Retail,2021-03-01
C00114,Sneha Verma,33.0,F,Chennai,Tamil Nadu,South India,Retail,2024-03-05
C00115,Vikram Rao,33.0,F,Margao,Goa,West India,Retail,2024-04-09
C00116,Aarti Verma,47.0,F,Chennai,Tamil Nadu,South India,Retail,2024-10-19
C00117,Anjali Reddy,45.0,F,Gaya,Bihar,East India,Retail,2023-07-25
C00118,Shah Academy,,Company,Kolkata,West Bengal,East India,Education,2024-03-17
C00119,Rahul Singh,60.0,F,Nashik,Maharashtra,West India,Retail,2022-07-17
C00120,Shah Systems Pvt Ltd,,Company,Udaipur,Rajasthan,West India,Corporate,2022-04-17
C00121,Deepak Singh,58.0,M,Ahmedabad,Gujarat,West India,Retail,2022-09-25
C00122,Karan Gupta,38.0,F,Nagpur,Maharashtra,West India,Retail,2021-12-26
C00123,Riya Yadav,35.0,M,Gaya,Bihar,East India,Retail,2022-06-11
C00124,Suresh Iyer,22.0,M,Visakhapatnam,Andhra Pradesh,South India,Retail,2022-04-08
C00125,Arjun Nair,25.0,F,Mumbai,Maharashtra,West India,Retail,2023-01-25
C00126,Sharma Global Pvt Ltd,,Company,Kolkata,West Bengal,East India,Corporate,2023-08-24
C00127,Menon Industries Pvt Ltd,,Company,Kochi,Kerala,South India,Corporate,2021-05-10
C00128,Neha Kumar,20.0,F,Hyderabad,Telangana,South India,Retail,2023-10-06
C00129,Vikram Bose,60.0,F,Bengaluru,Karnataka,South India,Retail,2024-04-17
C00130,Kavita Reddy,35.0,M,Margao,Goa,West India,Retail,2024-11-14
C00131,Kavita Singh,61.0,F,Raipur,Chhattisgarh,Central India,Retail,2024-01-21
C00132,Karan Sharma,47.0,M,New Delhi,Delhi,North India,Retail,2024-09-19
C00133,Karan Reddy,31.0,M,Hyderabad,Telangana,South India,Retail,2024-02-10
C00134,Sharma Solutions Pvt Ltd,,Company,Chandigarh,Punjab,North India,Corporate,2024-05-05
C00135,Kumar Industries Pvt Ltd,,Company,Amritsar,Punjab,North India,Corporate,2021-12-24
C00136,Jain Tech Pvt Ltd,,Company,Faridabad,Haryana,North India,Corporate,2022-05-03
C00137,Deepak Shah,65.0,M,Noida,Uttar Pradesh,North India,Retail,2023-09-03
C00138,Rahul Singh,20.0,F,Chandigarh,Punjab,North India,Retail,2023-07-28
C00139,Menon Public School,,Company,Margao,Goa,West India,Education,2023-10-02
C00140,Iyer Industries Pvt Ltd,,Company,Hyderabad,Telangana,South India,Corporate,2022-07-18
C00141,Neha Iyer,56.0,F,Raipur,Chhattisgarh,Central India,Retail,2021-07-23
C00142,Suresh Bose,44.0,F,Varanasi,Uttar Pradesh,North India,Retail,2023-07-18
C00143,Riya Patel,41.0,M,Chennai,Tamil Nadu,South India,Retail,2024-11-07
C00144,Aarti Singh,65.0,F,Noida,Uttar Pradesh,North India,Retail,2021-09-24
C00145,Sunita Singh,44.0,F,Chennai,Tamil Nadu,South India,Retail,2024-09-24
C00146,Reddy International School,,Company,Jaipur,Rajasthan,West India,Education,2023-11-06
C00147,Arjun Rao,53.0,F,New Delhi,Delhi,North India,Retail,2021-08-24
C00148,Das Tech Pvt Ltd,,Company,Pune,Maharashtra,West India,Corporate,2024-09-09
C00149,Vikram Nair,40.0,M,Udaipur,Rajasthan,West India,Retail,2022-01-07
C00150,Sunita Menon,51.0,M,Mumbai,Maharashtra,West India,Retail,2023-02-10
C00151,Vikram Verma,54.0,M,Chennai,Tamil Nadu,South India,Retail,2021-04-18
C00152,Deepak Bose,60.0,F,New Delhi,Delhi,North India,Retail,2023-09-22
C00153,Riya Joshi,25.0,F,Mumbai,Maharashtra,West India,Retail,2024-10-20
C00154,Anjali Reddy,21.0,M,Varanasi,Uttar Pradesh,North India,Retail,2022-02-23
C00155,Sneha Gupta,18.0,F,Jaipur,Rajasthan,West India,Retail,2023-06-01
C00156,Rahul Menon,65.0,M,Jaipur,Rajasthan,West India,Retail,2023-06-13
C00157,Transport Dept,,Company,Dibrugarh,Assam,East India,Government,2024-12-24
C00158,Kavita Patel,57.0,F,Chennai,Tamil Nadu,South India,Retail,2024-11-13
C00159,Anjali Jain,51.0,M,Noida,Uttar Pradesh,North India,Retail,2023-03-22
C00160,Kavita Gupta,25.0,M,Mumbai,Maharashtra,West India,Retail,2022-12-17
C00161,Riya Menon,27.0,M,Ludhiana,Punjab,North India,Retail,2021-12-29
C00162,Ravi Gupta,54.0,F,Margao,Goa,West India,Retail,2024-07-08
C00163,Raj Patel,55.0,M,Chennai,Tamil Nadu,South India,Retail,2022-12-22
C00164,Priya Joshi,36.0,M,Visakhapatnam,Andhra Pradesh,South India,Retail,2024-08-13
C00165,Riya Joshi,54.0,M,Visakhapatnam,Andhra Pradesh,South India,Retail,2022-10-21
C00166,Sneha Singh,39.0,M,New Delhi,Delhi,North India,Retail,2023-10-31
C00167,Kavita Yadav,57.0,M,Bengaluru,Karnataka,South India,Retail,2023-01-16
C00168,Ravi Kumar,59.0,F,Pune,Maharashtra,West India,Retail,2021-05-15
C00169,Priya Gupta,60.0,M,Chennai,Tamil Nadu,South India,Retail,2022-11-14
C00170,Patel Solutions Pvt Ltd,,Company,Bengaluru,Karnataka,South India,Corporate,2024-12-22
C00171,Sunita Joshi,60.0,M,Udaipur,Rajasthan,West India,Retail,2024-08-16
C00172,Pooja Gupta,39.0,F,Warangal,Telangana,South India,Retail,2022-01-29
C00173,Ravi Gupta,52.0,M,Vijayawada,Andhra Pradesh,South India,Retail,2024-09-17
C00174,Amit Bose,57.0,M,Chandigarh,Punjab,North India,Retail,2023-06-16
C00175,Aarti Rao,65.0,F,Margao,Goa,West India,Retail,2022-04-25
C00176,Deepak Menon,30.0,F,Margao,Goa,West India,Retail,2024-10-21
C00177,Amit Chopra,30.0,M,Margao,Goa,West India,Retail,2022-05-28
C00178,Kumar Solutions Pvt Ltd,,Company,Vijayawada,Andhra Pradesh,South India,Corporate,2023-11-23
C00179,Pooja Menon,27.0,F,Varanasi,Uttar Pradesh,North India,Retail,2021-07-07
C00180,Shah Systems Pvt Ltd,,Company,Guwahati,Assam,East India,Corporate,2023-10-26
C00181,Vikram Singh,24.0,F,Ludhiana,Punjab,North India,Retail,2021-10-27
C00182,Rahul Patel,48.0,F,Surat,Gujarat,West India,Retail,2024-06-14
C00183,Anjali Rao,64.0,F,Amritsar,Punjab,North India,Retail,2021-08-16
C00184,Neha Chopra,57.0,F,Lucknow,Uttar Pradesh,North India,Retail,2021-05-09
C00185,Kavita Rao,36.0,F,Chandigarh,Punjab,North India,Retail,2021-01-04
C00186,Aarti Joshi,41.0,M,New Delhi,Delhi,North India,Retail,2023-12-14
C00187,Suresh Shah,48.0,M,Visakhapatnam,Andhra Pradesh,South India,Retail,2024-07-25
C00188,Ravi Gupta,64.0,M,New Delhi,Delhi,North India,Retail,2024-04-06
C00189,Riya Verma,61.0,F,Hyderabad,Telangana,South India,Retail,2024-11-25
C00190,Singh Consulting Pvt Ltd,,Company,Noida,Uttar Pradesh,North India,Corporate,2022-02-17
C00191,Amit Reddy,52.0,F,Gurugram,Haryana,North India,Retail,2022-06-03
C00192,Kavita Bose,39.0,F,Kolkata,West Bengal,East India,Retail,2021-09-12
C00193,Chopra Industries Pvt Ltd,,Company,Panaji,Goa,West India,Corporate,2022-01-18
C00194,Sunita Verma,64.0,F,Gaya,Bihar,East India,Retail,2021-06-11
C00195,Sunita Verma,36.0,F,Visakhapatnam,Andhra Pradesh,South India,Retail,2023-07-03
C00196,Amit Patel,40.0,F,Vijayawada,Andhra Pradesh,South India,Retail,2022-07-17
C00197,Vikram Menon,61.0,M,Kozhikode,Kerala,South India,Retail,2021-03-05
C00198,Vikram Menon,54.0,M,Gurugram,Haryana,North India,Retail,2024-05-24
C00199,Municipal Corp,,Company,Vijayawada,Andhra Pradesh,South India,Government,2023-12-21
C00200,Raj Nair,19.0,M,Vadodara,Gujarat,West India,Retail,2023-10-20
C00201,Yadav Industries Pvt Ltd,,Company,Gurugram,Haryana,North India,Corporate,2022-03-16
C00202,Menon Systems Pvt Ltd,,Company,Visakhapatnam,Andhra Pradesh,South India,Corporate,2021-06-01
C00203,Shah Industries Pvt Ltd,,Company,Vijayawada,Andhra Pradesh,South India,Corporate,2022-10-17
C00204,Raj Rao,63.0,M,Coimbatore,Tamil Nadu,South India,Retail,2023-01-11
C00205,Aarti Shah,49.0,M,Ludhiana,Punjab,North India,Retail,2023-01-10
C00206,Suresh Chopra,23.0,M,Bhopal,Madhya Pradesh,Central India,Retail,2022-09-26
C00207,Deepak Joshi,38.0,M,Mumbai,Maharashtra,West India,Retail,2023-07-11
C00208,Amit Kumar,26.0,F,Cuttack,Odisha,East India,Retail,2023-10-27
