name,age,street,city,state,zip,lng,lat
Brian Castro,18,09942 Spencer River,Greggshire,Vermont,38216,-33.059534,50.4823035
Chelsea Morgan,18,7685 Henry Meadows Suite 179,Lake Ernest,Pennsylvania,84648,48.498490,48.2093535
Anita Baker,18,60522 April Divide Apt. 968,Port Sara,Arkansas,99622,81.241674,-65.4712225
Lisa Dominguez,18,02707 Crawford Extensions Suite 744,Lewiston,Connecticut,78168,51.310836,53.727312
Jeffrey Smith,18,05404 Collins Unions Apt. 593,East Georgefurt,Alabama,47117,50.552861,-52.2981305
Kelly Torres,18,437 Mason Common,Reyesburgh,California,21570,-162.619575,-88.965898
James Nguyen,18,92552 Cassandra Cliffs Apt. 014,Kennethbury,Tennessee,03053,92.652959,51.5243275
Dr. Amy Barron,18,197 Kevin Vista Apt. 445,West Christopherland,Arkansas,76534,42.011999,-64.825897
Michael Goodman,18,71738 Klein Fall,Lake Bradleyburgh,Alaska,56679,84.740858,43.6654855
Michael Miles,18,62313 Virginia Ferry,West Emily,Georgia,09122,2.726907,-48.059357
Colton Johnson,18,0259 Murray Square,Hillfurt,Alabama,12110,121.458690,-63.6448055
Laura Gonzalez,18,197 Eric Stravenue Suite 325,East Anthony,Minnesota,14278,87.381686,61.0054665
Rhonda Bell,18,6397 Li View Apt. 065,New Kariview,Kansas,64206,97.313635,-79.3070045
Stephanie Larson,18,8836 Wise Forest Apt. 962,North Alexander,Maryland,09563,-38.416884,1.442547
Brian Miranda,18,6807 Colon Trail Apt. 421,Christinahaven,Arkansas,30089,162.596261,53.136288
Natalie Harvey,18,99585 Emily Drive Suite 874,South Robertmouth,California,64105,161.930484,68.204973
David Jackson,18,748 Wright Lodge,Sophiafurt,Delaware,97081,-86.755678,-5.4658395
Sarah White,18,59566 Walls Spurs Apt. 095,Karenfurt,Vermont,14752,-160.606783,9.4279585
Melanie Garcia,18,847 Carpenter Drives Apt. 801,Lake Rileymouth,North Carolina,61595,-26.204753,-35.214761
Taylor Lamb,18,006 Robin Haven,Jensenborough,Louisiana,06787,126.052251,-72.273218
Krystal Evans,18,79763 Smith Mill,Anthonybury,South Carolina,58851,-65.353166,-73.920620
Maureen Castro,18,1550 Chavez Roads,Martinport,Pennsylvania,35294,42.198039,-77.775543
Jennifer Frey,18,2374 Kimberly Hills Apt. 401,West Teresa,Missouri,99605,-133.881668,-56.4231795
Eric Peterson,18,6438 Marshall Parks Suite 600,Lake Joannefurt,Kansas,01332,10.470932,-68.682921
Kyle Farmer,18,5586 Thompson Knolls Suite 903,South Sarahview,Arkansas,54516,-71.864418,-55.195951
William Jones,18,74694 Stephanie Station,Timothytown,Alabama,76933,-24.986564,-72.858028
Daniel Lopez,18,4976 Robert Locks Suite 553,Lake Brenda,Montana,07112,-101.161940,-37.278064
Angel Ellis,18,6610 Ritter Camp Apt. 441,Wilsonbury,Illinois,29131,-124.276718,56.1751555
Juan Gallagher,18,22634 Hamilton Road Suite 134,Aimeeburgh,New Hampshire,13472,-34.008948,-21.556136
Frank Day,18,58418 Tony Villages,West Nicole,Oregon,96814,-1.310922,43.876472
Samantha Davis,18,913 Solomon Plaza Suite 503,New Brittney,Oklahoma,67203,-87.140277,82.1486785
Cathy Frey,18,945 Todd Shores,Anafort,Nevada,39904,137.544934,58.199573
Cody Lang,18,78678 Sarah Well,North Christopherburgh,New Mexico,36090,52.281128,45.1222675
Heather Martin,18,2318 Miller Ways Suite 013,North Georgestad,Wisconsin,26722,169.087153,-39.557406
Nathan Thompson,18,470 Jones Course Suite 695,Millsborough,Kentucky,29347,53.760309,79.6009455
Jesse Reynolds,18,7496 Holt Walks,East Jeremyville,New York,08835,69.611024,84.798188
Lisa Wood,18,636 Pittman Plain,Port Kent,Mississippi,17876,41.063342,-10.975444
Scott King,18,504 Jenny Trail,South Oliviachester,Hawaii,10371,33.206439,29.1485105
Kimberly Mendoza,18,772 Smith Passage Suite 311,South Sharonview,Pennsylvania,43315,-148.151052,-10.9152985
Cynthia Ferguson,18,311 Patrick Locks,Rodneyside,North Carolina,39604,-61.597148,-58.8060115
Kimberly Barrett,18,72826 Beard Point Apt. 747,Lake Jill,Indiana,51841,-39.090156,-7.0316165
